               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.022347,            0.010906,            0.003101,             0.85101,             0.85479,             0.90006,             0.69948,            0.016259,           0.0048142,           0.0022232,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022048,            0.010975,           0.0026213,             0.82708,             0.84148,             0.88475,             0.70574,            0.015604,           0.0048725,           0.0021283,            0.007129,            0.007129,            0.007129
                  60,            0.022256,            0.010957,           0.0027228,             0.87389,             0.78369,             0.88532,             0.69871,            0.016258,           0.0048568,           0.0023682,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021979,            0.010886,           0.0024215,             0.85763,             0.83719,             0.89729,              0.7029,            0.016119,           0.0047983,           0.0022017,             0.00703,             0.00703,             0.00703
                  62,            0.021857,            0.010741,            0.002462,             0.81145,             0.85588,             0.87868,             0.68465,             0.01611,           0.0050188,           0.0022305,           0.0069805,           0.0069805,           0.0069805
                  63,            0.022165,            0.010944,           0.0024186,             0.82369,              0.8585,             0.88673,             0.69803,            0.016707,           0.0049781,           0.0027193,            0.006931,            0.006931,            0.006931
                  64,            0.021508,            0.010872,           0.0023287,             0.83906,             0.85017,             0.89459,              0.7016,            0.015937,            0.004863,           0.0021563,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021832,            0.010985,           0.0025408,             0.85155,             0.83975,             0.90618,             0.70691,             0.01585,           0.0048321,            0.002338,            0.006832,            0.006832,            0.006832
                  66,            0.021304,             0.01067,           0.0020809,             0.82682,             0.82924,             0.88603,             0.70233,            0.015778,            0.004891,            0.002143,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02198,            0.010992,           0.0024058,             0.78823,             0.87481,             0.87995,             0.69945,            0.016116,           0.0050151,           0.0018909,            0.006733,            0.006733,            0.006733
                  68,            0.021395,            0.010559,           0.0021902,             0.84224,             0.86109,             0.89051,             0.70816,              0.0157,           0.0047576,           0.0025284,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021793,            0.010678,           0.0026396,              0.8224,              0.8485,             0.88991,              0.7052,            0.015777,           0.0048957,           0.0023187,            0.006634,            0.006634,            0.006634
                  70,            0.021039,            0.010458,           0.0023465,             0.87833,              0.8299,             0.90634,               0.719,            0.015749,           0.0046428,           0.0018692,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020996,            0.010525,           0.0021148,             0.81593,             0.82649,             0.88134,             0.70506,            0.015878,           0.0047739,             0.00251,            0.006535,            0.006535,            0.006535
                  72,            0.021174,            0.010568,           0.0025935,             0.86489,             0.79393,              0.8857,             0.70909,            0.015399,           0.0047835,           0.0027921,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020956,            0.010657,            0.002004,             0.83394,             0.85377,             0.89409,              0.7134,            0.015494,           0.0047448,           0.0026156,            0.006436,            0.006436,            0.006436
                  74,            0.021244,            0.010324,           0.0020188,              0.8578,             0.81396,             0.88675,             0.70844,            0.015104,           0.0046842,           0.0024181,           0.0063865,           0.0063865,           0.0063865
                  75,            0.021235,             0.01051,            0.002315,             0.82387,             0.83559,             0.87783,             0.70037,            0.015662,           0.0047651,           0.0028116,            0.006337,            0.006337,            0.006337
                  76,             0.02123,            0.010661,           0.0023851,             0.85656,             0.81169,             0.89981,             0.71323,            0.015488,           0.0046571,           0.0027734,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020766,            0.010294,           0.0024784,             0.87265,             0.84814,             0.91046,             0.72858,            0.015501,           0.0046028,           0.0025192,            0.006238,            0.006238,            0.006238
                  78,            0.020885,            0.010091,           0.0019974,             0.88231,             0.82401,             0.90777,             0.71943,            0.015266,           0.0047185,           0.0023226,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020309,           0.0099159,           0.0020386,             0.86803,             0.81259,             0.89627,             0.72012,            0.015321,           0.0046602,           0.0026353,            0.006139,            0.006139,            0.006139
                  80,            0.020575,            0.010225,           0.0020364,             0.88607,             0.79349,             0.88109,             0.70824,             0.01546,           0.0047089,           0.0025535,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020412,            0.010012,           0.0020754,             0.85596,             0.80924,             0.89287,             0.71218,            0.015172,           0.0047591,           0.0023656,             0.00604,             0.00604,             0.00604
                  82,            0.020596,            0.010208,           0.0022033,             0.84097,             0.82542,             0.87908,             0.71427,            0.015325,           0.0047332,           0.0024649,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020317,            0.010323,           0.0019792,             0.83914,             0.85164,             0.89501,             0.72207,            0.015187,           0.0045872,            0.002508,            0.005941,            0.005941,            0.005941
                  84,            0.020081,           0.0098936,           0.0018334,             0.85402,             0.84938,             0.89923,             0.71982,            0.015277,           0.0046309,           0.0029213,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020609,            0.010114,           0.0019174,             0.90069,             0.81717,             0.90576,             0.72915,            0.014899,           0.0045348,           0.0026495,            0.005842,            0.005842,            0.005842
                  86,            0.020031,             0.01019,           0.0019696,             0.89328,             0.79793,             0.89935,             0.72331,            0.015217,           0.0046555,           0.0023515,           0.0057925,           0.0057925,           0.0057925
                  87,            0.020018,           0.0096105,           0.0018618,             0.86421,             0.83465,             0.90298,             0.72438,            0.015275,           0.0047379,           0.0024502,            0.005743,            0.005743,            0.005743
                  88,            0.020147,           0.0099392,             0.00177,             0.89555,             0.82421,              0.9073,             0.72432,            0.015332,           0.0046143,           0.0026674,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019939,           0.0096853,           0.0020022,             0.86967,             0.81591,             0.88873,             0.72045,            0.015425,           0.0047603,           0.0025055,            0.005644,            0.005644,            0.005644
                  90,            0.019947,           0.0096605,           0.0019615,             0.84019,             0.86712,             0.91328,             0.73831,            0.015516,            0.004539,           0.0024053,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019869,           0.0098141,           0.0020122,             0.84192,             0.85296,             0.89701,             0.71711,            0.015043,           0.0047165,           0.0025488,            0.005545,            0.005545,            0.005545
                  92,             0.01982,            0.009968,           0.0020002,             0.84931,             0.86066,             0.90386,             0.73146,            0.015167,            0.004551,           0.0022663,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020091,           0.0098622,           0.0017176,             0.87808,             0.82358,             0.88995,             0.71724,            0.015067,           0.0048156,           0.0026649,            0.005446,            0.005446,            0.005446
                  94,            0.019824,           0.0097819,           0.0021356,              0.9244,             0.81844,             0.91422,             0.72898,            0.014933,           0.0046442,            0.002439,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019649,            0.010029,           0.0017878,             0.87029,             0.85685,             0.90676,             0.73088,            0.015039,            0.004644,           0.0023034,            0.005347,            0.005347,            0.005347
                  96,            0.019319,            0.009847,           0.0017109,             0.84869,             0.84515,              0.8951,             0.71676,             0.01539,            0.004738,           0.0026468,           0.0052975,           0.0052975,           0.0052975
                  97,             0.01939,           0.0098614,           0.0021968,             0.90152,             0.83189,             0.90979,             0.73627,            0.014833,           0.0046458,            0.002457,            0.005248,            0.005248,            0.005248
                  98,            0.019777,           0.0096588,           0.0019606,             0.89724,             0.81556,             0.90322,             0.73178,            0.015077,           0.0046974,            0.002156,           0.0051985,           0.0051985,           0.0051985
                  99,             0.01926,            0.009752,           0.0016406,             0.87973,             0.83468,             0.89753,              0.7343,            0.014478,           0.0046757,           0.0024766,            0.005149,            0.005149,            0.005149
                 100,            0.019354,           0.0094053,           0.0016102,             0.87666,             0.85845,             0.90847,             0.73197,            0.015077,           0.0045719,           0.0025802,           0.0050995,           0.0050995,           0.0050995
                 101,            0.019282,           0.0098045,           0.0021834,             0.85228,             0.87052,             0.91124,             0.74145,            0.014324,           0.0045687,           0.0024872,             0.00505,             0.00505,             0.00505
                 102,            0.019077,           0.0097208,            0.001611,             0.91199,             0.83606,             0.91176,             0.74147,            0.014639,           0.0045029,           0.0025675,           0.0050005,           0.0050005,           0.0050005
                 103,            0.019248,           0.0096944,           0.0018036,             0.90526,             0.84043,             0.91068,             0.73951,             0.01489,           0.0045405,           0.0029648,            0.004951,            0.004951,            0.004951
                 104,             0.01899,           0.0094617,           0.0021528,             0.84098,             0.87967,              0.9088,             0.73921,            0.014573,           0.0045657,           0.0025237,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019007,           0.0095184,           0.0017306,             0.85907,             0.85777,              0.9054,             0.73325,            0.014123,           0.0045445,            0.002476,            0.004852,            0.004852,            0.004852
                 106,            0.018869,            0.009719,           0.0015821,             0.84897,              0.8509,             0.89565,              0.7293,            0.014422,           0.0045967,            0.002681,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018803,           0.0095145,           0.0017694,             0.88486,              0.8386,             0.90858,             0.74341,             0.01413,           0.0045306,           0.0022708,            0.004753,            0.004753,            0.004753
                 108,            0.018934,           0.0096142,           0.0014103,             0.87198,             0.84084,             0.90657,             0.73989,            0.014146,           0.0045615,           0.0023766,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018886,           0.0094021,           0.0016806,             0.86581,             0.85086,             0.90739,             0.73521,            0.014241,           0.0046046,            0.002638,            0.004654,            0.004654,            0.004654
                 110,             0.01906,           0.0094398,           0.0016167,             0.91644,             0.81925,             0.90571,             0.73457,            0.014569,           0.0045086,           0.0029973,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018444,           0.0091084,           0.0015688,             0.87515,             0.85171,             0.90659,             0.74314,             0.01459,           0.0045422,           0.0026516,            0.004555,            0.004555,            0.004555
                 112,            0.018703,           0.0092998,           0.0016701,             0.83864,              0.8533,             0.89882,             0.72963,            0.014462,           0.0046441,           0.0027181,           0.0045055,           0.0045055,           0.0045055
                 113,            0.018485,           0.0090665,            0.001354,             0.88778,             0.85971,             0.91433,             0.74251,            0.014647,           0.0045056,           0.0029634,            0.004456,            0.004456,            0.004456
                 114,            0.018627,           0.0093926,           0.0012585,             0.88137,             0.84687,             0.91275,             0.74748,            0.014166,           0.0045393,           0.0025938,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018651,            0.009012,           0.0016184,             0.90471,             0.86365,              0.9193,             0.75113,            0.013995,           0.0044376,           0.0027041,            0.004357,            0.004357,            0.004357
                 116,            0.018775,           0.0092487,           0.0014618,             0.86563,             0.85822,             0.90821,             0.73949,            0.014253,           0.0046042,           0.0024419,           0.0043075,           0.0043075,           0.0043075
                 117,            0.018573,            0.009399,           0.0012627,             0.86366,             0.84178,             0.89781,             0.73792,            0.014094,           0.0045907,           0.0025552,            0.004258,            0.004258,            0.004258
                 118,            0.018359,           0.0089629,           0.0016872,              0.8768,             0.84925,             0.90351,             0.74069,            0.014462,           0.0046355,           0.0027146,           0.0042085,           0.0042085,           0.0042085
                 119,            0.017674,           0.0090032,           0.0013335,             0.87095,             0.85689,             0.90628,             0.74259,            0.014252,           0.0046234,           0.0026151,            0.004159,            0.004159,            0.004159
                 120,            0.018097,           0.0092655,           0.0017364,             0.90312,             0.85839,             0.91682,             0.74739,            0.014601,           0.0044815,           0.0027016,           0.0041095,           0.0041095,           0.0041095
                 121,             0.01789,           0.0088642,           0.0015663,             0.89562,             0.84307,             0.90703,             0.74417,            0.014286,           0.0044985,           0.0028715,             0.00406,             0.00406,             0.00406
                 122,            0.017995,            0.008945,           0.0013749,             0.89635,              0.8454,             0.90537,              0.7434,             0.01402,           0.0045462,           0.0029437,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017969,           0.0090711,           0.0012821,             0.88833,              0.8416,             0.91084,             0.74955,            0.014391,           0.0045377,           0.0028812,            0.003961,            0.003961,            0.003961
                 124,            0.018133,           0.0089923,           0.0013479,             0.89379,             0.84713,             0.91157,             0.74695,            0.014533,           0.0045969,           0.0026667,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018062,           0.0089062,           0.0011153,             0.88092,             0.86011,             0.91424,             0.75552,            0.014378,           0.0045539,           0.0026815,            0.003862,            0.003862,            0.003862
                 126,            0.018082,           0.0088413,           0.0013536,             0.88508,             0.86926,             0.91904,             0.75692,            0.014419,           0.0044561,           0.0026297,           0.0038125,           0.0038125,           0.0038125
                 127,            0.017749,           0.0089615,           0.0014301,             0.89565,             0.85637,             0.91413,             0.74948,              0.0144,           0.0044985,           0.0028559,            0.003763,            0.003763,            0.003763
                 128,            0.017794,           0.0089781,           0.0014303,               0.871,             0.86568,             0.91873,             0.75294,            0.014696,           0.0045134,           0.0026798,           0.0037135,           0.0037135,           0.0037135
                 129,            0.018083,           0.0088478,           0.0011791,             0.90357,             0.83039,             0.91136,             0.74631,            0.014436,           0.0045255,           0.0027585,            0.003664,            0.003664,            0.003664
                 130,            0.017764,           0.0089623,           0.0013411,             0.88417,             0.85251,             0.90852,             0.74709,            0.014371,           0.0045313,           0.0027789,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017988,           0.0086259,           0.0016775,             0.89804,             0.84167,             0.91088,             0.75283,            0.014433,           0.0044775,           0.0029699,            0.003565,            0.003565,            0.003565
                 132,            0.017639,           0.0087187,           0.0014524,             0.90361,             0.85092,             0.91363,             0.75045,            0.014583,           0.0044842,           0.0032993,           0.0035155,           0.0035155,           0.0035155
                 133,             0.01732,           0.0083995,           0.0013199,             0.88974,             0.86256,             0.91577,             0.75241,            0.014282,           0.0044933,           0.0036107,            0.003466,            0.003466,            0.003466
